№,"Авторы (Фамилия, инициалы) пример: Kononenko V.V., Образцова Е.Д.","Название статьи (без кавычек) если статья в русскоязычном журнале, но индексируется в WoS, указывайте все данные для англоязычной версии WoS.",Журнал пример: Фундаментальные проблемы радиоэлектронного приборостроения,"том , номер (в круглых скобках), номер первой страницы, год (в круглых скобках) пример: 16 (3) 91 (2016)",DOI в формате: https://doi.org/10.1038/srep22101,"Квартиль WoS/квартиль Scopus/РИНЦ (квартиль только по данным WoS! Если статья входит в WoS, но без квартиля: нет Q. Укажите только одно значение Q. Если статья входит в ядро РИНЦ и не входит в WoS: РИНЦ) примеры: Q1, Q2, Q3, Q4, нет Q, РИНЦ",Ссылка на статью в WoS,Ссылка на статью в ядре РИНЦ,"Отдел (ОСПЯ, ОЛФ, ОТИАМ)","Зав. Лабораторией (только ИОФ РАН, другие институты указывать не надо)",Номер темы ФАНО (Парус 8)
1,"E.V. Bushuev, V.Yu. Yurov, A.P. Bolshakov, V.G. Ralchenko, E.E. Ashkinazi, A.V. Ryabova, I.A. Antonova, P.V. Volkov, A.V. Goryunov, A.Yu. Luk’yanov",Synthesis of single crystal diamond by microwave plasma assisted chemical vapor deposition with in situ low-coherence interferometric control of growth rate,Diamond and Related Materials,66 83 (2016),https://doi.org/10.1016/j.diamond.2016.03.023,Q1/Q1/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=30&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,,
2,"Samsonova E.V., Popov A.V., Vanetsev A.S., Keevend K., Kaldvee K., Puust L., Kiisk V., Sildos I., Kikas J., Orlovskii Y.V., Ryabova A.V., Loschenov V.B., Baranchikov A.E., Fedorenko S.G., Steiner R.",Fluorescence quenching mechanism for water-dispersible Nd3+:KYF4 nanoparticles synthesized by microwave-hydrothermal technique,Journal of Luminescence,169 (B) 722 (2016),https://doi.org/10.1016/j.jlumin.2015.03.015,Q2/Q1/РИНЦ,http://apps.webofknowledge.com/Search.do?product=UA&SID=F48X7O2SDkh5pIfMa2A&search_mode=GeneralSearch&prID=05e9d53a-4e6d-45d4-8632-e550fafefaaa,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
3,"Yu.V. Orlovskii, A.S. Vanetsev, K. Keevend, K. Kaldvee, E.V. Samsonova, L. Puust, B. del Rosal, D. Jaque, A.V. Ryabova, A.E. Baranchikov, S. Lange, I. Sildos, J. Kikas, V.B. Loschenov",NIR fluorescence quenching by OH acceptors in the Nd3+ doped KY3F10 nanoparticles synthesized by microwave-hydrothermal treatment,Journal of Alloys and Compounds,661 312 (2016),https://doi.org/10.1016/j.jallcom.2015.11.156,Q1/Q1/РИНЦ,http://apps.webofknowledge.com/Search.do?product=UA&SID=F48X7O2SDkh5pIfMa2A&search_mode=GeneralSearch&prID=10b8c6ac-7c1b-4cc1-be3a-624399320edd,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
4,"Yagudaev DM, Brechov EI, Saidov AC, Kalyagina NA, Kuznetsova JO, Loschenov VB.",Lymphotropic administration of photosensitizer as a model of target therapy of testicle inflammation: Experimental and clinical data,Photodiagnosis Photodyn Ther,13 15 (2016),https://doi.org/10.1016/j.pdpdt.2015.12.001,Q3/Q2/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=36&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
5,"E.Sokolova, G. Proshkina, O.Kutova, O.Shilova, A.Ryabova, A.Schulga, O. Stremovskiy, T.Zdobnova, I.Balalaeva, S.Deyev",Recombinant targeted toxin based on HER2-specific DARPin possesses a strong selective cytotoxic effect in vitro and a potent antitumor activity in vivo,Journal of Controlled Release,233 48 (2016),https://doi.org/10.1016/j.jconrel.2016.05.020,Q1/Q1/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=38&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
6,"T.A. Zharova, S.V. Ivannikov, A.M. Tonenkova, E. Ph. Stranadko, L.A. Semenova, M.M. Smorchkov, V.I. Makarov, I.D. Romanishkin, A.V. Ryabova, V.B. Loschenov",Gonarthritis photodynamic therapy with chlorin e6 derivatives,Photodiagnosis and Photodynamic Therapy 15 (2016) 88–93,15 88 (2016),https://doi.org/10.1016/j.pdpdt.2016.06.002,Q3/Q2/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=42&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
7,"Pominova, D. V., Ryabova, A. V., Linkov, K. G., Romanishkin, I. D., Kuznetsov, S. V., Rozhnova, J. A., Konov, V. I., Loschenov, V. B.",Pulsed periodic laser excitation of upconversion luminescence for deep biotissue visualization,Laser Physics,26 (8) 084001 (2016),https://doi.org/10.1088/1054-660X/26/8/084001,Q3/Q2/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=45&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
8,"D.V. Pominova, A.V. Ryabova, P.V. Grachev, I.D. Romanishkin, S.V. Kuznetsov, J.A. Rozhnova, D.S. Yasyrkina, P.P. Fedorov, V.B. Loschenov",Upconversion microparticles as time-resolved luminescent probes for multiphoton microscopy: desired signal extraction from the streaking effect,J. Biomed. Opt.,21 (9) 096002 (2016),https://doi.org/10.1117/1.JBO.21.9.096002,Q2/Q1/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=48&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
9,"Kholodtsova Maria, Daul Christian, Loschenov Victor, Blondel Walter ",Spatially and spectrally resolved particle swarm optimization for precise optical property estimation using diffuse-reflectance spectroscopy,OPTICS EXPRESS,24 (12) 12682 (2016),https://doi.org/10.1364/OE.24.012682,Q1/Q1/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=53&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
10,"A.A.Potapov, S.A.Goryaynov,V.A.Okhlopkov, L.V.Shishkina, V.B.Loschenov,T.A. Savelieva, D.A. Golbin, A.P.Chumakova, M.F. Goldberg, M.D. Varyukhina, A.Spallone",Laser biospectroscopy and 5-ALA fluorescence navigation as a helpful tool in the meningioma resection,Neurosurgical Review,39 (3) 437 (2016),https://doi.org/10.1007/s10143-015-0697-0,Q2/Q1/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=56&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
