пункт госзадания,"Авторы (Фамилия, инициалы) пример: Kononenko V.V., Образцова Е.Д.","Название статьи (без кавычек) если статья в русскоязычном журнале, но индексируется в WoS, указывайте все данные для англоязычной версии WoS.",Журнал пример: Фундаментальные проблемы радиоэлектронного приборостроения,"том , номер (в круглых скобках), номер первой страницы, год (в круглых скобках) пример: 16 (3) 91 (2016)",DOI в формате: https://doi.org/10.1038/srep22101,"Квартиль/РИНЦ (квартиль только по данным WoS! Если статья входит в WoS, но без квартиля: нет Q. Укажите только одно значение Q. Если статья входит в ядро РИНЦ и не входит в WoS: РИНЦ) примеры: Q1, Q2, Q3, Q4, нет Q, РИНЦ",Ссылка на статью в WoS,Ссылка на статью в ядре РИНЦ,"Отдел (ОСПЯ, ОЛФ, ОТИАМ)",Зав. Лабораторией (только ИОФ РАН),Номер темы ФАНО (Парус 8),авторы с аффилиациями
3,"Fedorov, P.P.,  Luginina, A.A.,  Kuznetsov, S.V.,  Voronov, V.V.,  Lyapin, A.A.,  Ermakov, A.S.,  Pominova, D.V.,  Yapryntsev, A.D.,  Ivanov, V.K.,  Pynenkov, A.A.,  Nishchev, K.N.  ",Composite up-conversion luminescent films containing a nanocellulose and SrF2:Ho particles,Cellulose,26 (4) 2403 (2019),https://doi.org/10.1007/s10570-018-2194-4,Q1,WOS:000461393100017,,,,"The support from Russian Foundation for Basic Research (Grant 16-29-11784-ofi-m) is greatly acknowledged.

We thank Polycell LLC for providing powdered cellulose PCC-0.25 sample and Biokhim LLC for providing Avicel PC105 microcrystalline cellulose sample. The support from Russian Foundation for Basic Research (Grant 16-29-11784-ofi-m) is greatly acknowledged. Authors express their sincere gratitude to Richard L. Simoneaux, and Elena V. Chernova for their most kind assistance in the preparation of the present manuscript and Vladimir N. Kryazhev for polymerization degree analysis.","P. P. Fedorov, S. V. Kuznetsov, V. V. Voronov, D. V. Pominova - Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov str. 38, Moscow, Russia 119991
A. A. Luginina - Russian Institute for Scientific and Technical Information (VINITI RAS), Usievicha str. 20, Moscow, Russia 125190
A. A. Lyapin, A. S. Ermakov, A. A. Pynenkov, K. N. Nishchev -Ogarev Mordovia State University, Bolshevistskaya str. 68, Saransk, Russia 430005
A. D. Yapryntsev, V. K. Ivanov - Kurnakov Institute of General and Inorganic Chemistry, Leninskii Prospect 31, Moscow, Russia 119991"
3,"V. A. Krut’ko, M. G. Komova, D. V. Pominova, G. E. Nikiforova ","Enhanced red up-conversion luminescence in La4−x−yGd10Ge2B6O34:Ybx,Ery synthesized by the liquid-phase homogenization with tartaric acid",Journal of Sol-Gel Science and Technology,"92(2), 442-448 опубликована онлайн (24 июля 2019)
DA  - 2019/07/24
TI",10.1007/s10971-019-05082-4,Q1,WOS:000492424200021,,ОСПЯ,Лощенов В.Б.,"The authors thank Baranchikov A.E. (Kurnakov Institute of General and Inorganic Chemistry of the Russian Academy of Sciences) for discussions of the results presented in this paper and Yorov H.E. (Kurnakov Institute of General and Inorganic Chemistry of the Russian Academy of Sciences) for supplying the SEM images of the synthesized phosphors. The authors also thank the organizers of the Sol-Gel 2018 Conference (Saint-Petersburg, Russia) for the opportunity to present the results of our work. This work was supported by IGIC RAS state assignment (State registration number 01201353364) and by the Russian Science Foundation (project 15-08-08467).","V. A. Krut’ko1
M. G. Komova1
D. V. Pominova2
G. E. Nikiforova1
1.Kurnakov Institute of General and Inorganic ChemistryRussian Academy of SciencesMoscowRussia
2.Prokhorov General Physics Institute of the Russian Academy of SciencesMoscowRussia"
3,"G. Proshkina, S. Deyev, A. Ryabova, F. Tavanti, M. Menziani, R. Cohen, L. Katrivas, A. Kotlyar",DARPin_9-29-Targeted Mini Gold Nanorods Specifically Eliminate HER2-overexpressing Cancer Cells,ACS Applied Materials & Interfaces,11(38) 34645-34651 (2019),10.1021/acsami.9b10441,Q1,WOS:000488322900009,,,,"This work was supported by the Israel Science Foundation, no. 1589/14, the Russian
Science Foundation (project no. 19-14-00112), the state assignment of fundamental
scientific research for state academies of sciences for 2013-2020 (theme “Physical
methods in medicine and biology” No. 0024-2019-0003), the Italian Ministero
dell’Istruzione, dell’Università e della Ricerca (MIUR) project (PRIN
2010C4R8M8_002).","Proshkina G1, Deyev S1, Ryabova A2, Tavanti F3, Menziani MC3, Cohen R4, Katrivas L4, Kotlyar A4.

1 Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry , Russian Academy of Sciences , Miklukho-Maklaya St, 16/10 , Moscow 117997 , Russia.
2 Prokhorov General Physics Institute of the Russian Academy of Sciences , 38 Vavilova St , Moscow 119991 , Russia.
3 Department of Chemical and Geological Sciences , University of Modena and Reggio Emilia , Via Campi 103 , 41125 Modena , Italy.
4 Department of Biochemistry and Molecular Biology, George S. Wise Faculty of Life Sciences and the Center of Nanoscience and Nanotechnology , Tel Aviv University , Ramat Aviv , Tel Aviv 69978 , Israel."
3,"E.G. Maksimov, E.Yu. Parshina, T.A. Slastnikova, P. Babaev, A.V. Stepanov, A.V. Ryabova, T. Friedrich, N.N. Sluchanko",Soluble cyanobacterial carotenoid protein as a robust platform for carotenoid delivery to membranes protect cells form oxidative stress,PNAS (PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA),направлена в редакцию,,Q1,,,,,,"Eugene G. Maksimov (Lomonosov Moscow State University)
Alexey V. Zamaraev (Faculty of Basic Medicine, MV Lomonosov Moscow State University, Moscow, Russia)
Evgenia Yu. Parshina (Lomonosov Moscow State University, Department of Biophysics, Faculty of Biology, 119991, Moscow, Russia)
Yury B. Slonimskiy
Tatiana A. Slastnikova (Institute of Gene Biology, Russian Academy of Sciences)
Alibek A. Abdrakhmanov (Faculty of Basic Medicine, MV Lomonosov Moscow State University, Moscow, Russia)
Pavel A. Babaev (Lomonosov Moscow State University, Department of Biophysics, Faculty of Biology, 119991, Moscow, Russia)
Svetlana S. Efimova (Institute of Cytology of the Russian Academy of Sciences, Tikhoretsky ave.4, St. Petersburg, 194064)
Olga S. Ostroumova (Institute of Cytology of the Russian Academy of Sciences, Tikhoretsky ave.4, St. Petersburg, 194064)
Alexey V. Stepanov (Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, 117997 Moscow, Russian Federation.)
Anastasiya V Ryabova (Prokhorov General Physics Institute, Russian Academy of Sciences)
Thomas Friedrich (Technical University of Berlin)
Nikolai N. Sluchanko (A.N. Bach Institute of Biochemistry, Federal Research Center of Biotechnology of the Russian Academy of Sciences)"
,"M. Oshchepkov, V. Golovesov, A. Ryabova, S. Tkachenko, A. Redchuk, G. Rudakova, A. Pervov, K. Popov",Visualization of a novel fluorescent-tagged bisphosphonate behavior during reverse osmosis desalination of water with high sulfate content,Journal of Membrane Science,направлена в редакцию,,Q1,,,,,,
,"M. Oshchepkov, K. Popov, A. Ryabova, A. Redchuk, S. Tkachenko, J. Dikareva and E. Koltinova",Barite crystallization in presence of novel fluorescent-tagged antiscalants,Int. J. Corros. Scale Inhib.,"8 (4), 998–1021 (2019)",10.17675/2305-6894-2019-8-4-12,"в WoS без Q, по SJR - Q3",,,,,"The authors would like to thank the Russian Foundation for Basic Research (Project No. 17-08-00061, the study of inhibition mechanisms, and Project No. mol_a18-33-00303, the synthesis of HEDP-F) for the financial support of the present study. This work was carried out using equipment of the Center for collective use No. 74834 “Technological and diagnostic center for the production, research and certification of micro and nanostructures” in GPI RAS.","M. Oshchepkov,1,2 K. Popov,1* A. Ryabova,3 A. Redchuk,1 S. Tkachenko,1,2 J. Dikareva1 and E. Koltinova1
1JSC “Fine Chemicals R&D Centre”, Krasnobogatyrskaya str. 42, b. 1, 107258 Moscow, Russian Federation 
2Mendeleev University of Chemical Technology of Russia, Miusskaya sq. 9, 125047 Moscow, Russian Federation 
3Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilova str., 38, 119991 Moscow, Russian Federation

The authors would like to thank the Russian Foundation for Basic Research (Project No. 17-08-00061, the study of inhibition mechanisms, and Project No. mol_a18-33-00303, the synthesis of HEDP-F) for the financial support of the present study. This work was carried out using equipment of the Center for collective use No. 74834 “Technological and diagnostic center for the production, research and certification of micro and nanostructures” in GPI RAS."
,"Ali Sharib, Zhou Felix,Braden Barbara, Bailey Adam, Yang Suhui, Cheng Guanju, Zhang Pengyi, Li Xiaoqiong, Kayser Maxime, Soberanis Roger-Mukul, Albarqouni Shadi, Wang Xiaokang, Wang Chunqing, Watanabe Seiryo, Oksuz Ilkay, Ning Qingtian, Yang Shufan, Azam Mohammad Khan, Gao Xiaohong, Realdon Stefano, Loshchenov Maxim, Schnabel Julia, East James, Wagnieres Georges, Loschenov Victor, Grisan Enrico, Daul Christian, Blondel Walter, Jens and Rittscher",An objective comparison of detection and segmentation algorithms for artefacts in clinical endoscopy,Scientific Reports,направлена в редакцию reference number: SREP-19-35325,,Q1,,,,,"The research was supported by the National Institute for Health Research (NIHR) Oxford Biomedical Research Centre (BRC). The views expressed are those of the authors and not necessarily those of the NHS, the NIHR or the Department of Health. Parts of this work was also supported by MedIAN network and Cancer Research UK. SA is supported by NIHR BRC and FYZ is supported by Ludwig Institute for Cancer Research. We would also like to acknowledge the annotators and our technical report reviewers.","Sharib Ali1,*,+, Felix Zhou2,+, Barbara Braden4, Adam Bailey4, Suhui Yang6, Guanju Cheng6, Pengyi Zhang7, Xiaoqiong Li7, Maxime Kayser8, Roger D. Soberanis-Mukul8, Shadi Albarqouni8, Xiaokang Wang9, Chunqing Wang15, Seiryo Watanabe10, Ilkay Oksuz11, Qingtian Ning17, Shufan Yang16, Mohammad Azam Khan18, Xiaohong W. Gao19, Stefano Realdon5, Maxim Loshchenov13, Julia A Schnabel11, James East4, Georges Wagnieres12, Victor Loschenov13, Enrico Grisan14, Christian Daul3, Walter Blondel3, and Jens Rittscher1
1Institute of Biomedical Engineering and Big Data Institute, Old Road Campus, University of Oxford, Oxford, UK
2Ludwig Institute for Cancer Research, University of Oxford, Oxford, Oxford, UK
3CRAN UMR 7039, University of Lorraine, CNRS, Nancy, France
4Translational Gastroenterology Unit, Experimental Medicine Div., John Radcliffe Hospital, University of Oxford,Oxford, UK
5Instituto Onclologico Veneto, IOV-IRCCS, Padova, Italy
6Ping An Technology (Shenzhen) Co. Ltd., Shenzhen, China
7Beijing Institute of Technology, Beijing, China
8Technishe Universitat M  ̈unchen, Munich, Germany  ̈
9Department of Biomedical Engineering, University of California, Davis, USA
10Department of Bioinformatic Engineering, Osaka University, Suita, Osaka, Japan
11School of Biomedical Engineering and Imaging Sciences, King’s College London, London, UK
12Swiss Federal Institute of Technology at Lausanne (EPFL), Lausanne, Switzerland
13Prokhorov General Physiscs Institute of the Russian Academy of Sciences, Moscow, Russia
14Department of Information Engineering, University of Padova, Padova, Italy
15Department of Ultrasound Imaging, Tiantan Hospital, Beijing, China
16School of Engineering, University of Glasgow, Glasgow, UK
17Department of Automation, Shanghai Jiao Tong University, China
18Department of Computer Science and Engineering, Korea University, Seoul, South Korea
19Department of Computer Science, Middlesex University, London, UK"
,"V.A. Krut'ko,  M.G. Komova, D. V. Pominova, K.E. Yorov","Synthesis and luminescent properties of the thermally stable up-conversion luminophores based on gadolinium germanium molybdate, codoped with Yb3+ and Er3+ or Ho3+ ions",Ceramics International,направлена в редакцию,,Q1,,,,,,
,"Yakavets I., Jenard S., Francois A., Maklygina Y., Loshenov V., Lassalle H.-P., DolivetG., Bezdetnaya L.","Stroma-Rich Co-Culture Multicellular Tumor Spheroids as a Tool for Photoactive Drugs Screening.
","Journal of Clinical Medicine. – 2019. – V.15, I.8(10). – P.pii: E1686. ISSN 2077-0383","– 2019. – V.15, I.8(10). – P.pii: E1686. ",10.3390/jcm8101686.,Q1,,,,,,"Ilya Yakavets 1,2,3 , Samuel Jenard 2,4, Aurelie Francois 1,2, Yulia Maklygina 1,2,5,
Victor Loschenov 5,6 , Henri-Pierre Lassalle 1,2, Gilles Dolivet 1,2 and Lina Bezdetnaya 1,2,*
1 Centre de Recherche en Automatique de Nancy, Centre National de la Recherche Scientifique UMR 7039,
Université de Lorraine, Campus Sciences, Boulevard des Aiguillette, 54506 Vandoeuvre-lès-Nancy, France,
i.yakavets@nancy.unicancer.fr (I.Y.), a.francois@nancy.unicancer.fr (A.F.),
us.samsonova@physics.msu.ru (Y.M.), h.lassalle@nancy.unicancer.fr (H.-P.L.),
g.dolivet@nancy.unicancer.fr (G.D.)
2 Research Department, Institut de Cancérologie de Lorraine, 6 avenue de Bourgogne,
54519 Vandoeuvre-lès-Nancy, France, samuel.jenard@gmail.com
3 Laboratory of Biophysics and Biotechnology, Belarusian State University, 4 Nezavisimosti Avenue,
220030 Minsk, Belarus
4 Institut Jules Bordet, Surgery Department, Université Libre de Bruxelles, Boulevard de Waterloo 121,
1000 Brussel, Belgium
5 Prokhorov General Physics Institute of the Russian Academy of Sciences,
Vavilova 38, 117942 Moscow, Russia, loschenov@mail.ru
6 National Research Nuclear University MEPhI, Kashirskoe shosse, 31, 115409 Moscow, Russia
* Correspondence: l.bolotine@nancy.unicancer.fr, Tel.: +33-(0)3-08-59-83-53"
,"Farrakhova Dina *, Shiryaev Artem, Yakovlev Dmitry, Efendiev Kanamat, Maklygina Yulia, Borodkin Alexandr, Loschenov Maxim, Bezdetnaya Lina, Ryabova Anastasia, Amirkhanova Liana, Samoylova Svetlana, Levkin Vladimir, Reshetov Igor, Loschenov Victor ",Tials of a fluorescent endoscopic video system for diagnosis and treatment of the head and neck cancer,Journal of Clinical Medicine,"2019, 8, 2229",doi:10.3390/jcm8122229,Q1,,,,,"This research was funded by Ministry of Science and High Education of the Russian
Federation—RFMEFI61618X0096, by the French Ministry of Europe and International Aaires & French Ministry
of Higher Education, Research and Innovation (grant PHC Kolmogorov 41145VE).","Dina Farrakhova 1,* , Artem Shiryaev 2, Dmitry Yakovlev 3, Kanamat Efendiev 4,
Yulia Maklygina 1, Alexandr Borodkin 1, Maxim Loschenov 1, Lina Bezdetnaya 5,6,
Anastasia Ryabova 1,4 , Liana Amirkhanova 2, Svetlana Samoylova 2, Mikhail Rusakov 2,
Victor Zavodnov 2, Vladimir Levkin 2, Igor Reshetov 2 and Victor Loschenov 1,4
1 Prokhorov General Physics Institute of the Russian Academy of Sciences, 119991 Moscow, Russia,
us.samsonova@physics.msu.ru (Y.M.), borodkin.aleksandr@gmail.com (A.B.), maxvl2000@gmail.com (M.L.),
nastya.ryabova@gmail.com (A.R.), loschenov@mail.ru (V.L.)
2 University Clinical Hospital no. 1, Oncology Center, I.M. Sechenov First Moscow State Medical
University (Sechenov University), Ministry of Health of the Russian Federation, 119991 Moscow, Russia,
artemdoc@mail.ru (A.S.), liana_1994@mail.ru (L.A.), sv_samoilova75@mail.ru (S.S.), m1rus@mail.ru (M.R.),
marina-zavodnova@rambler.ru (V.Z.), doctor-levkin@mail.ru (V.L.), reshetoviv@mail.ru (I.R.)
3 Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,
117997 Saratov, Russia, yakovlevrsmu@gmail.com
4 Department of Laser Micro-, Nano-, and Biotechnology, Institute of Engineering Physics for Biomedicine,
National Research Nuclear University “MEPhI”, 115409 Moscow, Russia, kanamatius@mail.ru
5 Centre de Recherche en Automatique de Nancy, CNRS, Université de Lorraine,
54519 Vandoeuvre-lès-Nancy, France, l.bolotine@nancy.unicancer.fr
6 Institut de Cancérologie de Lorraine, 54519 Vandoeuvre-lès-Nancy, France
* Correspondence: farrakhova.dina@mail.ru, Tel.: +7-968-587-52-75"
