подпункт госзадания,"Авторы (Фамилия, инициалы) пример: Kononenko V.V., Образцова Е.Д.","Название статьи (без кавычек) если статья в русскоязычном журнале, но индексируется в WoS, указывайте все данные для англоязычной версии WoS.",Журнал пример: Фундаментальные проблемы радиоэлектронного приборостроения,"том , номер (в круглых скобках), номер первой страницы, год (в круглых скобках) пример: 16 (3) 91 (2016)",DOI в формате: https://doi.org/10.1038/srep22101,"Квартиль/РИНЦ (квартиль только по данным WoS! Если статья входит в WoS, но без квартиля: нет Q. Укажите только одно значение Q. Если статья входит в ядро РИНЦ и не входит в WoS: РИНЦ) примеры: Q1, Q2, Q3, Q4, нет Q, РИНЦ",Ссылка на статью в WoS,Ссылка на статью в ядре РИНЦ,"Отдел (ОСПЯ, ОЛФ, ОТИАМ)",Зав. Лабораторией (только ИОФ РАН),Номер темы ФАНО (Парус 8),авторы с аффилиациями,
,"Loshchenov Maxim, Seregin Alexander, Kalyagina Nina, Dadashev Elmar, Borodkin Alexander, Babaev Akobirkhon, Loran Oleg, Loschenov Victor",Fluorescence visualization of the borders of bladder tumors after TUR with quantitative determination of diagnostic contrast,Translational Biophotonics,2020, e201900026.,https://doi.org/10.1002/tbio.201900026,,,,,,"This work was carried out with the active support of the Center for Collective Use of Scientific Equipment No. 74834 “Technological and diagnostic center for the production, research and certification of micro and nanostructures” in GPI RAS, of MEPhI Academic Excellence Project (agreement with the Ministry of Education and Science of the Russian Federation of August 27, 2013, project no. 02.a03.21.0005), and of RFBR, research project No. 17-00-00162 (K) (17-00-00159).","Maxim Loshchenov1| Alexander Seregin2,3| Nina Kalyagina1,4|Elmar Dadashev2| Alexander Borodkin1| Akobirkhon Babaev3|Oleg Loran3| Victor Loschenov1,4
1 Prokhorov General Physics Institute of the Russian Academy of Sciences, Moscow, Russia 
2 S.P. Botkin City Clinical Hospital of the Department of Health of Moscow, Moscow, Russia 
3 Russian Medical Academy of Continuous Professional Education of the Ministry of Health of the Russian Federation, Moscow, Russia 
4 National Research Nuclear University MEPhI, Moscow, Russia"
,"A.V. Lantsova, L.M. Borisova, G.A. Meerovich, N.D. Bunyatyan, Yu.V. Olefir, A.B. Prokof’ev, V.A. Evteev, M.M. Sapovskii, M.P. Kiseleva, E.V. Sanarova, O.L. Orlova, M.V. Dmitrieva, A.P. Polozkova, N.A. Oborotova, M.A. Ogay, Z.J. Кhadzhieva, L.L. Nikolaeva.",The study of antitumor activity of the liposomal photosensitizer – Lipophthalocyan. ,Bulletin of Experimental Biology and Medicine,2020,,,,,,,,,
,"E.G. Maksimov, E.Yu. Parshina, T.A. Slastnikova, P. Babaev, A.V. Stepanov, A.V. Ryabova, T. Friedrich, N.N. Sluchanko",Soluble cyanobacterial carotenoid protein as a robust platform for carotenoid delivery to membranes protect cells form oxidative stress,Cell Research,направлена в редакцию,,,,,,,,"Eugene G. Maksimov (Lomonosov Moscow State University)
Alexey V. Zamaraev (Faculty of Basic Medicine, MV Lomonosov Moscow State University, Moscow, Russia)
Evgenia Yu. Parshina (Lomonosov Moscow State University, Department of Biophysics, Faculty of Biology, 119991, Moscow, Russia)
Yury B. Slonimskiy
Tatiana A. Slastnikova (Institute of Gene Biology, Russian Academy of Sciences)
Alibek A. Abdrakhmanov (Faculty of Basic Medicine, MV Lomonosov Moscow State University, Moscow, Russia)
Pavel A. Babaev (Lomonosov Moscow State University, Department of Biophysics, Faculty of Biology, 119991, Moscow, Russia)
Svetlana S. Efimova (Institute of Cytology of the Russian Academy of Sciences, Tikhoretsky ave.4, St. Petersburg, 194064)
Olga S. Ostroumova (Institute of Cytology of the Russian Academy of Sciences, Tikhoretsky ave.4, St. Petersburg, 194064)
Alexey V. Stepanov (Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, 117997 Moscow, Russian Federation.)
Anastasiya V Ryabova (Prokhorov General Physics Institute, Russian Academy of Sciences)
Thomas Friedrich (Technical University of Berlin)
Nikolai N. Sluchanko (A.N. Bach Institute of Biochemistry, Federal Research Center of Biotechnology of the Russian Academy of Sciences)",
,"M. Oshchepkov, V. Golovesov, A. Ryabova, S. Tkachenko, A. Redchuk, G. Rudakova, A. Pervov, K. Popov",Visualization of a novel fluorescent-tagged bisphosphonate behavior during reverse osmosis desalination of water with high sulfate content,Desalination,направлена в редакцию,,,,,,,,,
,"Oshchepkov Maxim , Golovesov Vladimir, Ryabova Anastasia , Redchuk Anatoly, Tkachenko Sergey, Pervov Alexei, Popov Konstantin ",Gypsum crystallization during reverse osmosis desalination of water with high sulfate content in presence of a novel fluorescent-tagged polyacrylate,Crystals,"10(4), 309 (2020)",10.3390/cryst10040309 ,Q2,https://www.mdpi.com/2073-4352/10/4/309,,,,"The authors would like to thank Russian Science Foundation, Project No. 19-79-10220 for the financial support of present study. This work was carried out with the using equipment of the Center for collective use No. 74834 &quot,Technological and diagnostic center for the production, research and certification of micro and nanostructures&quot, in GPI RAS.","Maxim Oshchepkov 1,2 , Vladimir Golovesov 1,3 , Anastasiya Ryabova 4 , Anatoly Redchuk 1 , Sergey Tkachenko 1,2 , Alexei Pervov 3 , and Konstantin Popov 1, *
1 JSC “Fine Chemicals R&amp,D Centre”, Krasnobogatyrskaya, str. 42, b 1, Moscow, 107258 Russian Federation
2 Mendeleev University of Chemical Technology of Russia, Miusskaya sq. 9, Moscow, 125047 Russian Federation
3 Moscow State University of Civil Engineering, Yaroslavskoe shosse, 26, Moscow, 129337 Russian Federation
4 Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov str., 38, Moscow, 119991, Russia",
,"V.A. Krut'ko,  M.G. Komova, D. V. Pominova, K.E. Yorov","Synthesis and luminescent properties of the thermally stable up-conversion luminophores based on gadolinium germanium molybdate, codoped with Yb3+ and Er3+ or Ho3+ ions",Ceramics International,направлена в редакцию,,Q1,,,,,,,
,"Kalyagina N., Loshchenov M., Amouroux M., Daul C., Kudashev B., Blondel W. and Loschenov V.",Two Diagnostic Criteria of Optical Spectrosopy for Bladder Tumor Detection: Clinical Study using 5-ALA induced fluorescence and Mathematical Modelling,Photodiagnosis and Photodynamic Therapy,направлена в редакцию,,Q2,,,,,,"Nina Kalyagina 1,2,*, Maxim Loshchenov 1, Marine Amouroux3, Christian Daul 3, Boris Kudashev4, Walter Blondel3 and Victor Loschenov 1,2
1Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov Str. 38, 119991, Russian Federation
2 National Research Nuclear University MEPhI, Kashirskoye shosse 31, 115409, Russian Federation 
3 Université de Lorraine, CNRS, CRAN UMR 7039, Vandoeuvre-Lès-Nancy, France
4N.N. Blokhin Russian Cancer Research Center RAMS, Kashirskoye Shosse 24, 115478, Moscow, Russian Federation

",
,"Loshchenov M., Levkin V., Kalyagina N., Linkov K., Kharnas S., Efendiev K., Loschenov V.",Laser Induced Fluorescence Diagnosis of Stomach Tumour,Lasers in Medical Science,– 2020. – С. 1-8.,https://doi.org/10.1007/s10103-020-02963-x,Q2,,,,,,"Loshchenov Maxim1, Levkin Vladimir2, Kalyagina Nina1,3, Linkov Kirill1, Kharnas Sergey2, Efendiev Kanamat3, Loschenov Victor1,3
1 Prokhorov General Physics Institute of the Russian Academy of Sciences, Vavilov Str. 38, 119991, Russian Federation
2 I.M. Sechenov First Moscow State Medical University (Sechenov University), Trubetskaya st. 8-2., Moscow 119991, Russian Federation
3 National Research Nuclear University MEPhI, Kashirskoye shosse 31, 115409, Russian Federation
",
,"G A Meerovich, E V Akhlyustina, I G Tiganova, E A Makarova, E R Tolordava, Yu S Zhizhimova, N I Philipova, I D Romanishkin, E A Lukyanets, Yu M Romanova, V B Loschenov.",Photodynamic inactivation of Pseudomonas aeruginosa bacterial biofilms using photosensitizers based octacationic derivatives of phthalocyanines and bacteriochlorins.,Journal of Physics: Conference Series.,– V.1439. (2020),https://doi.org/10.1088/1742-6596/1439/1/012036,Q4,,,,,,,
,"Skobeltsin A., Farrakhova D., Maklygina Yu., Romanishkin I., Ryabova A., Yakovets I., Millard M., Bolotine L., Plyutinskaya A., Karmakova T., Pankratov A., Loschenov V.",ЗD spheroid cultures for evaluation of nanophotosensitizers accumulation.,Journal of Physics: Conference Series.,– V.1439. (2020),https://doi.org/10.1088/1742-6596/1439/1/012032,,,,,,,,
