№,"Авторы (Фамилия, инициалы) пример: Kononenko V.V., Образцова Е.Д.",Название доклада (без кавычек),Название конференции (без кавычек) пример: Х Всероссийский семинар по радиофизике миллиметровых и субмиллиметровых волн,"Место проведения пример: Нижний Новгород, Россия",даты проведения пример: 29 февраля – 3 марта 2016 года,"Номер страницы в сборнике тезисов (обязательно!) пример, если номера страницы нет: не указана","Тип доклада (устный, постерный, приглашенный)","DOI (если есть, в формате https://doi.org/10.1038/srep22101)",ISBN (если есть),"Отдел (ОСПЯ, ОЛФ, ОТИАМ)","Зав. Лабораторией (только ИОФ РАН, другие институты указывать не надо)",Номер темы ФАНО (Парус 8)
6,"Savelieva T.A., Linkov K.G., Borodkin A.V., Volkov V.V., Goryajnov S.A., Potapov A.A., Loschenov V.B.",Method of intraoperative spectroscopic detection of tumor tissues in neurosurgery.,18th International Conference on Laser Optics ICLO 2018,"St.Petersburg, Russia",04-08 June 2018,"TuSMB-p18, 86",постерный,10.1109/LO.2018.8435194,978-1-5386-3612-1,ОСПЯ,Лощенов В.Б.,0024-2018-0035
13,"Loshchenov M.V., Savelieva T.A., Golbin D.A., Linkov K.G., Loschenov V.B.",Laser fiber optic equipment for embedding video photodynamic diagnostic and therapy control features into standard surgical instruments.,18th International Conference on Laser Optics ICLO 2018,"St.Petersburg, Russia",04-08 June 2018,"ThSMD-24, 101",устный,10.1109/LO.2018.8435425,978-1-5386-3612-1,ОСПЯ,Лощенов В.Б.,0024-2018-0035
4,"Pominova D.V., Ryabova A.V., Grachev P.V., Romanishkin I.D., Proydakova V.Yu., Kuznetsov S.V., Voronov V.V., Fedorov P.P., Loschenov V.B.",Optimization of upconversion nanoparticles excitation regimes for selective heating and effective thermometry in biological tissues.,18th International Conference on Laser Optics ICLO 2018,"St.Petersburg, Russia",04-08 June 2018,"ThSMC-32, 97",устный,10.1109/LO.2018.8435509,978-1-5386-3612-1,ОСПЯ,Лощенов В.Б.,0024-2018-0035
7,"Sharova A.S., Maklygina Yu.S., Ryabova A.V., Loschenov V.B.",Spectral properties comparative analysis of normal and tumor brain tissues in the visible and near infrared optical ranges.,18th International Conference on Laser Optics ICLO 2018,"St.Petersburg, Russia",04-08 June 2018,"WeSMB-21, 89",устный,10.1109/LO.2018.8435632,978-1-5386-3612-1,ОСПЯ,Лощенов В.Б.,0024-2018-0035
11,"Farrakhova D.S., Yakavets I.V., Loschenov V.B., Bolotine L.N., Zorin V.P.",Comparitive accumulation study of chlorin group photosensitizers on monolayer and multicellular tumor spheroids of cell culture.,18th International Conference on Laser Optics ICLO 2018,"St.Petersburg, Russia",04-08 June 2018,"ThSMD-17, 100",устный,10.1109/LO.2018.8435633,978-1-5386-3612-1,ОСПЯ,Лощенов В.Б.,0024-2018-0035
10,"Steiner R.W., Scalfi-Happ C., Zhu Z., Wiehe A., Ryabova A., Loschenov V., Wittig R.",Cellular reactions of organic nanoparticles during PDT (Invited paper).,18th International Conference on Laser Optics ICLO 2018,"St.Petersburg, Russia",04-08 June 2018,"ThSMD-06, 99",приглашенный,10.1109/LO.2018.8435652,978-1-5386-3612-1,ОСПЯ,Лощенов В.Б.,0024-2018-0035
12,"Akhlyustina E.V., Meerovich G.A., Tiganova I.G., Makarova E.A., Alekseeva N.V., Philipova N.I., Lukyanets E.A., Romanova Yu.M., Loschenov V.B.",Study of new infrared photosensitizers for photodynamic inactivation of pathogenic bacteria based on synthetic bacteriochlorin derivatives.,18th International Conference on Laser Optics ICLO 2018,"St.Petersburg, Russia",04-08 June 2018,"ThSMD-22, 100",устный,10.1109/LO.2018.8435686,978-1-5386-3612-1,ОСПЯ,Лощенов В.Б.,0024-2018-0035
8,"Maklygina Yu.S., Yusubalieva G.M., Romanishkin I.D., Ryabova A.V., Chekhonin V.P., Loschenov V.B.",TAM identification by fluorescence lifetime on different models.,18th International Conference on Laser Optics ICLO 2018,"St.Petersburg, Russia",04-08 June 2018,"WeSMC-12, 92",устный,10.1109/LO.2018.8435696,978-1-5386-3612-1,ОСПЯ,Лощенов В.Б.,0024-2018-0035
9,"Ryabova A.V., Lukyanets E.A., Klimov A.I., Pominova D.V., Makarov V.I., Romanishkin I.D., Herrmann I., Steiner R., Loschenov V.B.",Iron oxide nanoparticles conjugated with Zn phthalocyanine for photoinduced anticancer immune response.,18th International Conference on Laser Optics ICLO 2018,"St.Petersburg, Russia",04-08 June 2018,"WeSMD-p14, 95",постерный,10.1109/LO.2018.8435777,978-1-5386-3612-1,ОСПЯ,Лощенов В.Б.,0024-2018-0035
15,"Orlovskii Yu.V., Popov A.V., Orlovskaya E.O., Vanetsev A.S., Sildos I., Grachev P.V., Ryabova A.V.",A crystal host selection for aqueous colloidal luminescent nanocrystals doped by Nd3+ used for bioimaging in first biological window.,18th International Conference on Laser Optics ICLO 2018,"St.Petersburg, Russia",04-08 June 2018,"ThSMC-33, 97",устный,10.1109/LO.2018.8435789,978-1-5386-3612-1,ОСПЯ,Лощенов В.Б.,0024-2018-0035
